sample_id,source,geo_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,required_support_pressure_MPa,required_case_id,label_status
stage3_g019,stage3,g019,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,0.5,s3_g019_p01,labeled
stage3_g020,stage3,g020,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,0.5,s3_g020_p01,labeled
stage3_g021,stage3,g021,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,0.5,s3_g021_p01,labeled
stage3_g022,stage3,g022,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,0.5,s3_g022_p01,labeled
stage3_g023,stage3,g023,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,0.5,s3_g023_p01,labeled
stage3_g024,stage3,g024,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,1.1,s3_g024_p03,labeled
stage3_g025,stage3,g025,1026.81,1.41516,3.16126,22.6034,0.652042,0.750756,39.4888,0.756227,0.5,s3_g025_p01,labeled
stage3_g026,stage3,g026,1065.75,1.31351,4.67206,23.5381,1.23276,1.35354,36.823,1.11498,0.5,s3_g026_p01,labeled
stage3_g027,stage3,g027,1089.16,1.23133,3.7479,24.0998,0.787431,0.78977,33.492,1.10373,1.4,s3_g027_p04,labeled
stage3_g028,stage3,g028,979.918,1.29817,4.8497,21.478,1.32688,0.877608,28.4876,1.0681,1.1,s3_g028_p03,labeled
stage3_g029,stage3,g029,944.617,1.28087,3.57051,20.6308,0.607426,0.72679,35.5515,0.701195,0.5,s3_g029_p01,labeled
stage3_g030,stage3,g030,892.089,1.32978,5.68035,19.3701,1.00343,1.29154,27.0788,0.893718,0.5,s3_g030_p01,labeled
stage3_g031,stage3,g031,825.772,0.904665,4.17466,17.7785,0.772062,0.645652,38.8854,1.26265,0.5,s3_g031_p01,labeled
stage3_g032,stage3,g032,814.167,0.83081,5.79463,17.5,0.968573,0.741923,31.581,0.733596,1.4,s3_g032_p04,labeled
stage3_g033,stage3,g033,835.717,0.845036,4.02226,18.0172,1.29359,0.608296,34.9103,0.509994,1.4,s3_g033_p04,labeled
stage3_g034,stage3,g034,1173.54,1.14335,4.22704,26.125,1.11426,1.2294,37.0316,0.690052,0.8,s3_g034_p02,labeled
stage3_g035,stage3,g035,1082.73,1.08997,5.92289,23.9456,1.19166,1.13949,25.0911,1.16355,1.7,s3_g035_p05,labeled
stage3_g036,stage3,g036,956.117,1.4484,5.37634,20.9068,0.746651,0.693807,33.8555,1.0001,0.8,s3_g036_p02,labeled
stage3_g037,stage3,g037,969.598,1.24314,5.32582,21.2304,1.34935,1.08155,32.3032,1.13013,0.5,s3_g037_p01,labeled
stage3_g038,stage3,g038,960.924,1.15512,4.31785,21.0222,1.09506,0.850364,39.6856,1.28823,0.5,s3_g038_p01,labeled
stage3_g039,stage3,g039,1151.82,1.43675,3.29212,25.6036,0.987561,1.1648,34.1657,0.674879,0.8,s3_g039_p02,labeled
