model,R2,RMSE_MPa,MAE_MPa,MAPE_percent,nearest_level_accuracy,nearest_level_MAE_MPa,elapsed_seconds
TabPFN,0.962964939155029,0.14049476716186787,0.09089211594286582,7.663966387369493,0.7410071942446043,0.07985612231192828,16.517755031585693
CatBoost,0.8745615815871066,0.2585645029307069,0.1862939650557495,19.09027552754755,0.539568345323741,0.16402877903670718,0.9423584938049316
SVR_RBF,0.8636577193830858,0.2695683465229184,0.19078195614267615,20.69758000740068,0.539568345323741,0.17266187084664542,0.011397600173950195
MLP,0.8295074938859163,0.30144373690920123,0.20308355761946534,21.23433239940552,0.5683453237410072,0.18129496677316348,0.34198594093322754
RandomForest,0.7599307418594065,0.35770243196779267,0.2768316565877927,28.967680586787957,0.39568345323741005,0.2438848869406062,3.2811501026153564
