target_level_MPa,n_unique_samples,n_repeated_cv_predictions,MAE_MPa,RMSE_MPa,mean_bias_MPa,median_abs_error_MPa,P90_abs_error_MPa,nearest_level_accuracy,adjacent_level_accuracy,over_prediction_rate,under_prediction_rate
0.5,53,265,0.024217771359209744,0.0632936416860556,0.024217771359209744,0.001309812068939209,0.07484974861145015,0.939622641509434,1.0,0.06037735849056604,0.0
0.8,18,90,0.09941535446378919,0.12917530376270805,0.002931392192840533,0.08200163841247554,0.2259697437286377,0.7555555555555555,1.0,0.13333333333333333,0.1111111111111111
1.1,14,70,0.1243381255013602,0.15439815958223627,0.033325181688581104,0.10018354654312134,0.24089465260505669,0.6428571428571429,1.0,0.22857142857142856,0.12857142857142856
1.4,14,70,0.15582866174834112,0.20600404934482963,-0.0907778254577091,0.10975899696350089,0.4011132836341858,0.6285714285714286,0.9571428571428572,0.1,0.2714285714285714
1.7,8,40,0.1990708190202713,0.23466819252805468,-0.0601763933897018,0.17416734695434566,0.4080183029174804,0.4,1.0,0.25,0.35
2.0,9,45,0.1392419152789645,0.18082417407963106,0.03550698227352573,0.11791563034057617,0.32247257232666043,0.6444444444444445,1.0,0.24444444444444444,0.1111111111111111
2.3,11,55,0.12798249981620105,0.16131517745096674,0.010282241214405604,0.10762233734130877,0.2838331079483033,0.6545454545454545,1.0,0.18181818181818182,0.16363636363636364
2.6,12,60,0.12049799760182704,0.16573224831459457,-0.12049799760182704,0.08531031608581552,0.2627603530883786,0.6833333333333333,1.0,0.0,0.31666666666666665
