model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,exceedance_precision_mean,exceedance_precision_std,exceedance_recall_mean,exceedance_recall_std,exceedance_f1_mean,exceedance_f1_std,roc_auc_mean,roc_auc_std
CatBoostClassifier,0.94625,0.03775951866748304,0.9161534391534392,0.0879872375703014,0.7868571428571428,0.15473003334826324,0.8740000000000001,0.17860571099491754,0.8113564213564213,0.13083635775451918,0.9800238095238096,0.021102396641256838
LogisticRegression,0.90875,0.05481384215384527,0.9430687830687831,0.036434196129619525,0.6258614718614719,0.14646218824722432,0.99,0.05,0.7561767121767121,0.1077773372964758,0.9889444444444444,0.01244015915273733
