model,R2_mean,R2_std,RMSE_MPa_mean,RMSE_MPa_std,MAE_MPa_mean,MAE_MPa_std,nearest_level_accuracy_mean,nearest_level_accuracy_std,nearest_level_MAE_MPa_mean,nearest_level_MAE_MPa_std
TabPFNRegressor,0.9595827603291016,0.015380669264066057,0.13982952874222987,0.023355556818801426,0.09131444545397682,0.018186141605328526,0.76,0.06590797893530125,0.07330159774911466,0.020125449918559437
SVR_RBF,0.8776788325441917,0.03664789887006399,0.24717648907950765,0.045082693761868166,0.17874705175047198,0.033221565679407955,0.5408465608465608,0.09176716993856085,0.16668254192417892,0.03251678098563605
CatBoostRegressor,0.8550379762044283,0.05680223653739718,0.26652805171922705,0.05818056592498723,0.19568724148461608,0.04375567390318277,0.4862433862433862,0.11801247491042595,0.1873174579395819,0.05276216684699318
RandomForestRegressor,0.7323949633274845,0.0823104177587225,0.3649213325967425,0.061472941744894774,0.29134936409298745,0.04582084682332662,0.30502645502645503,0.06499228842813817,0.28652380226907276,0.04551318793448428
