task,model,train_size,r2_mean,r2_sd,rmse_mean_MPa,rmse_sd_MPa,mae_mean_MPa,mae_sd_MPa
support_pressure_regression,TabPFNRegressor,30,0.8624239942978749,0.06531700380212534,0.2653304614924435,0.05733834248751357,0.1738790946405962,0.02772550609837252
support_pressure_regression,TabPFNRegressor,50,0.9330060831567227,0.01791318271244758,0.18779836761719895,0.027162634787159214,0.12553382737750418,0.01517995870269766
support_pressure_regression,TabPFNRegressor,70,0.9462350430369405,0.016994661360900477,0.1692719035709361,0.026701612219878792,0.1136657081220461,0.01543466672886369
support_pressure_regression,TabPFNRegressor,90,0.9514184799543722,0.01472731549856757,0.157130836894839,0.02488567973132515,0.10823373675954585,0.017650160235628345
support_pressure_regression,TabPFNRegressor,110,0.9567423641120071,0.009869120071831296,0.14580082717889958,0.017043879911883265,0.09883028813477221,0.013476037902870094
support_pressure_regression,TabPFNRegressor,130,0.9606836431877473,0.02554768621357072,0.13291975463028877,0.04861745544649107,0.09602196738123894,0.039307444338266884
